GEO/TIME,codes,2014,2015,2014+2015
Ethiopia,ETH,2630,5475,8105
Côte d'Ivoire,CIV,3240,5575,8815
Ghana,GHA,3965,5570,9535
China ,CHN,5030,5695,10725
Guinea,GIN,5280,5480,10760
Dem. Rep. of Congo,COD,6790,5720,12510
Algeria,DZA,6035,7620,13655
Bosnia and Herzegovina,BIH,7780,5940,13720
Georgia,GEO,7445,6560,14005
Senegal,SEN,6260,8880,15140
Sudan,SDN,6005,10910,16915
FYR of Macedonia,MKD,6730,10545,17275
Mali,MLI,12790,8315,21105
"Gambia, The",GMB,11315,12205,23520
Bangladesh,BGD,10005,17695,27700
Unknown,,8605,21345,29950
Russia,RUS,14030,18385,32415
Stateless,,15170,18940,34110
Ukraine,UA,13550,20830,34380
Somalia,SOM,14805,19575,34380
Iran,IRN,9700,25360,35060
Serbia,SRB,20095,19090,39185
Nigeria,NGA,18895,29915,48810
Pakistan,PAK,20550,46400,66950
Eritrea,ERI,36250,33095,69345
Albania,ALB,16145,65935,82080
Kosovo,XKX,34115,66885,101000
Iraq,IRQ,14845,121535,136380
Other ,,67770,85160,152930
Afghanistan,AFG,37855,178230,216085
Syria,SYR,119000,362775,481775
