GEO/TIME,codes,2014,2015,pop_2015,Asylumseekers per 1000 (2014),Asylumseekers per 1000 (2015),percentage increase,percentage increase*initial per capita,normed%*init/cap
European Union ,,626960,1321600,508450856,1.2330788563,2.5992679222,110.7949470482,136.61890659,10.3946006655
Austria,AUT,28035,88160,8576261,3.2689070447,10.2795379012,214.464062778,701.06308565,51.6259072055
Belgium,BEL,22710,44660,11258434,2.0171544284,3.966803909,96.6534566293,194.96494806,14.6566404039
Bulgaria,BGR,11080,20365,7202198,1.5384192437,2.827609016,83.7996389852,128.9189772299,9.8321391156
Croatia,HRV,450,210,4225316,0.1065009102,0.0497004248,-53.3333332958,-5.68004854,0
Cyprus,CYP,1745,2265,847008,2.060193056,2.6741187805,29.7994269378,61.39257245,61.39257245
Czech Republic,CZE,1145,1515,10538275,0.1086515582,0.1437616688,32.3144105631,3.51101106,0.671385072
Denmark,DNK,14680,20935,5659715,2.593770181,3.6989495054,42.6089918257,110.51793244,8.4879865022
Estonia,EST,155,230,1313271,0.1180259063,0.1751352158,48.3870967742,5.71093095,0.8320839944
Finland,FIN,3620,32345,5471753,0.6615795706,5.9112682901,793.5082872554,524.96887195,38.7626431763
France,FRA,64310,75750,66415161,0.9683030054,1.1405528325,17.7888353273,17.22498271,1.6731581258
Germany,DEU,202645,476510,81197537,2.4957037798,5.8685277609,135.1452046673,337.28239811,25.0525920793
Greece,GRC,9430,13205,10858018,0.8684826273,1.2161519718,40.0318133687,34.76693445,2.9545560326
Hungary,HUN,42775,177135,9855571,4.3401848559,17.9730834469,314.108708353,1363.2898591,100
Ireland,IRL,1450,3275,4628949,0.3132460522,0.7075040144,125.862068949,39.42579622,3.2948748185
Italy,ITA,64625,84085,60795612,1.0629879012,1.3830767918,30.1121856833,32.00888906,2.7530873681
Latvia,LVA,375,330,1986096,0.1888126254,0.1661551103,-12.0000000275,-2.26575151,0.249406288
Lithuania,LTU,440,315,2921262,0.1506198349,0.107830109,-28.4090909596,-4.27897259,0.1023452701
Luxembourg,LUX,1150,2505,562958,2.0427811666,4.4497102803,117.826086957,240.6929113699,17.9969595047
Malta,MLT,1350,1845,429344,3.1443318178,4.2972534844,36.666666669,115.29216666,8.8367329716
Netherlands,NLD,24495,44970,16900726,1.4493460222,2.66083244,83.5884874449,121.14864178,9.2645345681
Poland,POL,8020,12190,38005614,0.2110214559,0.3207420883,51.9950125128,10.97206324,1.2163972113
Portugal,PRT,440,895,10374822,0.0424103662,0.0862665403,103.409090818,4.38561741,0.7352729884
Romania,ROU,1545,1260,19870647,0.0777528784,0.0634101144,-18.4466019717,-1.4342764,0.3101435697
Slovakia,SVK,330,330,5421349,0.0608704586,0.0608704586,0,0,0.4149140539
Slovenia,SVN,385,275,2062874,0.1866328239,0.1333091599,-28.5714285867,-5.3323664,0.0253973545
Spain,ESP,5615,14780,46449565,0.1208838016,0.3181945837,163.2235084341,19.73107821,1.8562224493
Sweden,SWE,81180,162450,9747355,8.3284131952,16.6660596644,100.1108647444,833.7646469201,61.3194410465
United Kingdom,GBR,32785,38800,64875165,0.5053551694,0.5980716966,18.3468049432,9.27165272,1.0921862618
